Date,Open,Close,Change,Quote,Low,High,Volume,Turnover,Rate
2010-05-12,52.50,56.00,2.73,5.12%,51.61,56.50,64850,35207.87,8.21%
2010-05-11,56.90,53.27,-2.40,-4.31%,52.50,57.50,47525,26317.46,6.02%
2010-05-10,58.52,55.67,-2.55,-4.38%,53.00,59.00,56910,31669.76,7.20%
2010-05-07,58.58,58.22,-4.48,-7.15%,57.50,61.20,66629,39369.46,8.43%
2010-05-06,66.80,62.70,-4.00,-6.00%,62.70,68.00,48900,32034.60,6.19%
2010-05-05,64.00,66.70,1.67,2.57%,63.12,66.95,51580,33624.17,6.53%
2010-05-04,63.00,65.03,0.59,0.92%,62.15,65.89,42182,27321.39,5.34%
2010-04-30,65.18,64.44,-0.13,-0.20%,61.88,65.80,46924,29848.70,5.94%
2010-04-29,66.20,64.57,-1.39,-2.11%,64.50,68.59,56604,37831.86,7.17%
2010-04-28,70.30,65.96,-5.33,-7.48%,65.82,71.30,74653,50600.61,9.45%
2010-04-27,69.90,71.29,0.29,0.41%,69.10,73.40,52253,37180.56,6.61%
2010-04-26,73.10,71.00,-3.30,-4.44%,69.00,74.00,79055,56424.55,10.01%
2010-04-23,79.50,74.30,-5.55,-6.95%,72.02,80.39,95626,72715.12,12.10%
2010-04-22,77.00,79.85,2.67,3.46%,72.00,80.42,105228,80591.50,13.32%
2010-04-21,75.02,77.18,0.09,0.12%,75.02,78.87,90928,70115.66,11.51%
2010-04-20,79.00,77.09,-8.56,-9.99%,77.09,81.40,94017,72957.70,11.90%
2010-04-19,82.74,85.65,2.91,3.52%,80.03,87.48,91187,77257.62,11.54%
2010-04-16,192.99,207.15,10.05,5.10%,192.99,214.00,29353,60044.75,3.72%
2010-04-15,214.96,197.10,-20.50,-9.42%,196.00,225.48,38481,79983.23,4.87%
2010-04-14,209.01,217.60,5.24,2.47%,203.00,218.00,29788,62638.00,3.77%
2010-04-13,233.20,212.36,-23.59,-10.00%,212.36,237.99,33463,73267.91,4.24%
2010-04-12,223.99,235.95,21.45,10.00%,220.00,235.95,20682,47474.29,2.62%
2010-04-09,201.50,214.50,10.02,4.90%,201.30,214.50,13132,27393.46,4.16%
2010-04-07,205.00,204.48,-1.18,-0.57%,201.50,206.80,14200,28951.79,4.49%
2010-04-06,191.00,205.66,13.67,7.12%,190.98,205.80,20556,41059.21,6.50%
2010-04-02,188.01,191.99,0.09,0.05%,187.47,194.79,14456,27525.57,4.57%
2010-04-01,196.00,191.90,-4.50,-2.29%,191.51,199.98,16581,32549.17,5.25%
2010-03-31,197.23,196.40,-1.51,-0.76%,195.52,200.81,12761,25240.31,4.04%
2010-03-30,193.00,197.91,4.91,2.54%,190.52,200.80,18363,36396.46,5.81%
2010-03-29,184.71,193.00,7.20,3.88%,178.53,195.48,25844,48284.75,8.18%
2010-03-26,183.94,185.80,-3.50,-1.85%,178.20,193.42,24843,46052.31,7.86%
2010-03-25,178.40,189.30,10.98,6.16%,177.11,190.66,20435,37770.73,6.47%
2010-03-24,179.00,178.32,-0.79,-0.44%,176.98,183.99,16128,28970.54,5.10%
2010-03-23,168.87,179.11,10.27,6.08%,167.56,179.89,16208,28269.43,5.13%
2010-03-22,160.98,168.84,10.84,6.86%,159.00,171.89,15432,25434.07,4.88%
2010-03-19,157.57,158.00,0.00,0.00%,156.50,160.88,9178,14580.01,2.90%
2010-03-18,160.00,158.00,-1.11,-0.70%,156.00,160.00,14738,23247.29,4.66%
2010-03-17,152.10,159.11,6.96,4.57%,151.50,159.50,12798,19938.61,4.05%
2010-03-16,153.80,152.15,-0.85,-0.56%,150.91,156.00,11159,17090.83,3.53%
2010-03-15,149.10,153.00,3.97,2.66%,147.80,153.98,10139,15370.66,3.21%
2010-03-12,152.50,149.03,-3.90,-2.55%,147.00,154.79,16597,25042.95,5.25%
2010-03-11,148.01,152.93,4.93,3.33%,144.45,154.98,21242,31843.10,6.72%
